epoch,step,test_acc,test_loss,train_acc,train_loss
1,49,,,0.84375,0.39030954241752625
3,99,,,0.8125,0.4689294993877411
5,149,,,0.875,0.48120126128196716
6,199,,,0.96875,0.1910611093044281
8,249,,,0.90625,0.15901124477386475
10,299,,,0.9375,0.18736626207828522
12,349,,,0.90625,0.24474209547042847
13,399,,,0.9375,0.1909710019826889
15,449,,,0.90625,0.33518773317337036
17,499,,,0.9375,0.35924452543258667
18,549,,,0.9375,0.3365124464035034
20,599,,,0.9375,0.2053402066230774
22,649,,,0.9375,0.20201100409030914
24,699,,,0.96875,0.12691152095794678
25,749,,,0.90625,0.37344372272491455
27,799,,,0.9375,0.17954447865486145
29,849,,,0.90625,0.24547620117664337
31,899,,,0.96875,0.12504401803016663
32,949,,,0.84375,0.35634034872055054
34,999,,,0.875,0.22571386396884918
36,1049,,,0.875,0.3659523129463196
37,1099,,,0.96875,0.11259870231151581
39,1149,,,1.0,0.07454226166009903
41,1199,,,0.96875,0.06289626657962799
43,1249,,,0.96875,0.11107826232910156
44,1299,,,0.9375,0.1261313259601593
46,1349,,,1.0,0.04646240919828415
48,1399,,,1.0,0.046012286096811295
49,1449,,,0.8888888955116272,0.26042473316192627
50,1450,0.791304349899292,0.6341004967689514,,
