epoch,step,train_acc,train_loss
1,49,0.8125,0.441907674074173
3,99,0.78125,0.6253723502159119
5,149,0.90625,0.3650546669960022
6,199,0.84375,0.41711658239364624
8,249,0.875,0.4434317946434021
10,299,0.84375,0.33505916595458984
12,349,0.75,0.5364081859588623
13,399,0.90625,0.2206808626651764
15,449,0.90625,0.2746255099773407
17,499,0.9375,0.15333275496959686
18,549,0.9375,0.1896274983882904
20,599,0.90625,0.20956656336784363
22,649,0.9375,0.29041779041290283
24,699,0.9375,0.15747883915901184
25,749,0.875,0.21653442084789276
27,799,0.96875,0.11752855777740479
29,849,0.96875,0.14572297036647797
31,899,1.0,0.03063012659549713
32,949,0.96875,0.09441959857940674
34,999,0.96875,0.08875960111618042
36,1049,0.96875,0.07198816537857056
37,1099,0.96875,0.04777329042553902
39,1149,0.9375,0.0861605778336525
41,1199,0.9375,0.10118816792964935
43,1249,0.96875,0.04376302659511566
44,1299,1.0,0.015037357807159424
46,1349,1.0,0.0036473944783210754
48,1399,1.0,0.007227320224046707
49,1449,1.0,0.02212856151163578
